LIBELLE;CYCLE;N° COMPTE;DOMICILIATION;GROUPE SCOLAIRE;COMMUNE;REGION;DREN;IEPP
ZAMAKA 1 2  MATERNELLE;;;;;;;ABENGOUROU;YAKASSE FEYASSE
ZAMAKA 3;;;;;;;ABENGOUROU;YAKASSE FEYASSE
ZINZENOU 1 2 3  MATERNELLE;;;;;;;ABENGOUROU;YAKASSE FEYASSE
AHOUSSIKRO;;;;;;;ABENGOUROU;ZARANOU
AKATI 1 2 3 MATERNELLE;;;;;;;ABENGOUROU;ZARANOU
ANO AMOIKONKRO;;;;;;;ABENGOUROU;ZARANOU
ASSIEDOUAKRO;;;;;;;ABENGOUROU;ZARANOU
BEBOU 1;;;;;;;ABENGOUROU;ZARANOU
BEBOU 2;;;;;;;ABENGOUROU;ZARANOU
BLEKOUM;;;;;;;ABENGOUROU;ZARANOU
BOKAKOKORE 1 2;;;;;;;ABENGOUROU;ZARANOU
EBILASSOKRO 1 2 3 4 5;;;;;;;ABENGOUROU;ZARANOU
EHUASSO 1 2;;;;;;;ABENGOUROU;ZARANOU
EHUASSO 1 ET 2;;;;;;;ABENGOUROU;ZARANOU
EHUASSO 3;;;;;;;ABENGOUROU;ZARANOU
KOUADIOKRO ABENGOUROU;;;;;;;ABENGOUROU;ZARANOU
KOUAME TIEMELEKRO;;;;;;;ABENGOUROU;ZARANOU
LONACI EBILASSOKRO;;;;;;;ABENGOUROU;ZARANOU
M BASSO ABENGOUROU;;;;;;;ABENGOUROU;ZARANOU
MAFIA ABENGOUROU;;;;;;;ABENGOUROU;ZARANOU
MAHOUNOU ZARANOU;;;;;;;ABENGOUROU;ZARANOU
MATERNELLE  BEBOU;;;;;;;ABENGOUROU;ZARANOU
MATERNELLE ZARANOU;;;;;;;ABENGOUROU;ZARANOU
NEHO 2;;;;;;;ABENGOUROU;ZARANOU
NEHO EBILASSOKRO;;;;;;;ABENGOUROU;ZARANOU
NEHO EBILASSOKRO 2;;;;;;;ABENGOUROU;ZARANOU
PRAKRO;;;;;;;ABENGOUROU;ZARANOU
PRESCOLAIRE ABADJINANKRO;;;;;;;ABENGOUROU;ZARANOU
PRESCOLAIRE EBILASSOKRO;;;;;;;ABENGOUROU;ZARANOU
PRESCOLAIRE EBILASSOKRO;;;;;;;ABENGOUROU;ZARANOU
SERI BAROUAN;;;;;;;ABENGOUROU;ZARANOU
