LIBELLE;CYCLE;N° COMPTE;DOMICILIATION;GROUPE SCOLAIRE;COMMUNE;REGION;DREN;IEPP
KOUASSIKRO;;;;;;;GAGNOA;BAYOTA
LOGOUATA 12;;;;;;;GAGNOA;BAYOTA
LOSSOME 1 2 3;;;;;;;GAGNOA;BAYOTA
METEPA 1 2;;;;;;;GAGNOA;BAYOTA
METEPA HONOREKRO;;;;;;;GAGNOA;BAYOTA
METEPA KOUASSI KONANKRO;;;;;;;GAGNOA;BAYOTA
NEKEIDE 12;;;;;;;GAGNOA;BAYOTA
PETIT ADJAME;;;;;;;GAGNOA;BAYOTA
SANEPA 1 2;;;;;;;GAGNOA;BAYOTA
SOKOURA 1;;;;;;;GAGNOA;BAYOTA
SOKOURA 2;;;;;;;GAGNOA;BAYOTA
SOLOKOU;;;;;;;GAGNOA;BAYOTA
TEHIRI 1 2;;;;;;;GAGNOA;BAYOTA
TEHIRI 3;;;;;;;GAGNOA;BAYOTA
TEHIRI AGBAKRO;;;;;;;GAGNOA;BAYOTA
TEHIRI CHANTIER;;;;;;;GAGNOA;BAYOTA
TEHIRI DAVO;;;;;;;GAGNOA;BAYOTA
YOPOHUE 1;;;;;;;GAGNOA;BAYOTA
YOPOHUE 3;;;;;;;GAGNOA;BAYOTA
ZAHIBOHIO;;;;;;;GAGNOA;BAYOTA
ZAMBLEKRO 1 2;;;;;;;GAGNOA;BAYOTA
ZEMIN N GUESSANKRO;;;;;;;GAGNOA;BAYOTA
ZIBOUYAOKRO;;;;;;;GAGNOA;BAYOTA
ZIGBOHOURI;;;;;;;GAGNOA;BAYOTA
ZIPLIGNAN 1;;;;;;;GAGNOA;BAYOTA
ZIPLIGNAN 2;;;;;;;GAGNOA;BAYOTA
ALLANGBABROUKRO;;;;;;;GAGNOA;DIEGONEFLA
ALLUIKRO;;;;;;;GAGNOA;DIEGONEFLA
BADIE1 2;;;;;;;GAGNOA;DIEGONEFLA
BIDIE1 2;;;;;;;GAGNOA;DIEGONEFLA
BLEANIANDA1 2;;;;;;;GAGNOA;DIEGONEFLA
BLEANIANDA3 4;;;;;;;GAGNOA;DIEGONEFLA
BLEKOUA1 2;;;;;;;GAGNOA;DIEGONEFLA
BOESSOVODA1 2;;;;;;;GAGNOA;DIEGONEFLA
BOKEDA 3;;;;;;;GAGNOA;DIEGONEFLA
BOKEDA1 2;;;;;;;GAGNOA;DIEGONEFLA
BOODA1 2;;;;;;;GAGNOA;DIEGONEFLA
BRONDA1 2;;;;;;;GAGNOA;DIEGONEFLA
DEDI;;;;;;;GAGNOA;DIEGONEFLA
DIEGONEFLA 2;;;;;;;GAGNOA;DIEGONEFLA
DIEGONEFLA 4;;;;;;;GAGNOA;DIEGONEFLA
DIEGONEFLA 5;;;;;;;GAGNOA;DIEGONEFLA
DIEGONEFLA EXTENSION;;;;;;;GAGNOA;DIEGONEFLA
DIEGONEFLA RESIDENTIEL;;;;;;;GAGNOA;DIEGONEFLA
DIEGONEFLA1  3  6;;;;;;;GAGNOA;DIEGONEFLA
DONDI 1;;;;;;;GAGNOA;DIEGONEFLA
DONDI 2;;;;;;;GAGNOA;DIEGONEFLA
GBOMENEDA;;;;;;;GAGNOA;DIEGONEFLA
GNANDI BOMENEDA;;;;;;;GAGNOA;DIEGONEFLA
GOUDI;;;;;;;GAGNOA;DIEGONEFLA
GOUEDA;;;;;;;GAGNOA;DIEGONEFLA
GOUEDA CHANTIER;;;;;;;GAGNOA;DIEGONEFLA
ISSAKRO;;;;;;;GAGNOA;DIEGONEFLA
KOUAKOUDANKRO;;;;;;;GAGNOA;DIEGONEFLA
KPACOBO;;;;;;;GAGNOA;DIEGONEFLA
LAHOUDA;;;;;;;GAGNOA;DIEGONEFLA
MENUISIERKOUADIOKRO;;;;;;;GAGNOA;DIEGONEFLA
NIEBODA;;;;;;;GAGNOA;DIEGONEFLA
OUESSEBO;;;;;;;GAGNOA;DIEGONEFLA
OUIKAO;;;;;;;GAGNOA;DIEGONEFLA
SANGOUE;;;;;;;GAGNOA;DIEGONEFLA
SCIERIE JACOB 1;;;;;;;GAGNOA;DIEGONEFLA
SCIERIE JACOB 2;;;;;;;GAGNOA;DIEGONEFLA
SCIERIE JACOB 3 4;;;;;;;GAGNOA;DIEGONEFLA
TIAMA DIEGONEFLA;;;;;;;GAGNOA;DIEGONEFLA
TIEGBA;;;;;;;GAGNOA;DIEGONEFLA
TONLA 1 2;;;;;;;GAGNOA;DIEGONEFLA
TONLA 3;;;;;;;GAGNOA;DIEGONEFLA
TONLA 4;;;;;;;GAGNOA;DIEGONEFLA
WEAKA;;;;;;;GAGNOA;DIEGONEFLA
ZADDI 1 2;;;;;;;GAGNOA;DIEGONEFLA
BAGASSEHOA AKETEKRO;;;;;;;GAGNOA;DIGNAGO
BAGASSEHOA YAPIKRO;;;;;;;GAGNOA;DIGNAGO
BAGASSEHOA1 2;;;;;;;GAGNOA;DIGNAGO
BEUGREHOA   DJEKRO;;;;;;;GAGNOA;DIGNAGO
DIGNAGO 1 4  MATERNELLE;;;;;;;GAGNOA;DIGNAGO
DIGNAGO 2 3;;;;;;;GAGNOA;DIGNAGO
DIGNAGO KOUAKRO;;;;;;;GAGNOA;DIGNAGO
GAZAHIO 1 2;;;;;;;GAGNOA;DIGNAGO
GAZAHIO ALLAKRO ET MATERNELLE;;;;;;;GAGNOA;DIGNAGO
GBEUGREHOA N DRIKRO;;;;;;;GAGNOA;DIGNAGO
GBEUGREHOUA 1 2 ET MATERNELLE;;;;;;;GAGNOA;DIGNAGO
LEBRE;;;;;;;GAGNOA;DIGNAGO
OTEHOA 1 2;;;;;;;GAGNOA;DIGNAGO
ZADI OYOUROU BERNARD 12ETMATERNELLE DRIBOUO;;;;;;;GAGNOA;DIGNAGO
AHIZABRE;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
AHIZABRE KONDOKRO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
AHIZABRE PETIT BOUAKE;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
ATONIHIO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
BABRE 2;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
BAROUHIO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
BAROUHIO 1;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
BELLEVILLE;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
BENOIKRO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
BOGREGNOA;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
BOURSE DU TRAVAIL;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
C I B;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
CHATEAU D EAU;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
DAGODIO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
DAHIRI 1;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
DAHIRI 2;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
DAR ES SALAM;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
DIABOUO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
DIABOUO BROUKRO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
DIGBEUGNOA;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
DIOULABOUGOU;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
DOBE;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
GAGNOA MARCHE;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
GBELE KOUDOU FELIX;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
GNAHIO DEGOUE;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
GNOUSSO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
GUEMENEDOU;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
GUESSIHIO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
GUESSIHIO DEMIDOUGOU;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
GUIBOUO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
GUIBOUO BROUKOUASSIKRO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
GUIBOUO NIAMIENKONANKRO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
HENRIETTE DAGRI DIABATE;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
HERMAKONO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
KAKREDOU;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
KRIPAHIO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
LIBREVILLE;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
MAGUEHIO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
MAGUEHIO GBENANKOUAMEKRO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
MAGUIEAHIO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
MAHIDIO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
MENEKRE;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
NOAGUIHIO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
ONY BABRE;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
ONY TABRE;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
SAKODOUGOU;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
SOGROGBOGNOA;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
SOGROGBOGNOA PETIT ADJAME;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
SOKOULA;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
SOKOULA 1;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
SOKOURA;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
TCHEDJELET;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
TOUTOUBRE;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
ZOKROBOUO;;;;;;;GAGNOA;GAGNOA DIOULABOUGOU
AFRIDOUGOU;;;;;;;GAGNOA;GAGNOA LONACI
BABRE;;;;;;;GAGNOA;GAGNOA LONACI
BALUEPALEGNOA;;;;;;;GAGNOA;GAGNOA LONACI
BANDAKRO;;;;;;;GAGNOA;GAGNOA LONACI
BOBIA;;;;;;;GAGNOA;GAGNOA LONACI
DAHOPA;;;;;;;GAGNOA;GAGNOA LONACI
DALIGUEPA;;;;;;;GAGNOA;GAGNOA LONACI
DALIGUEPA AMANIKRO;;;;;;;GAGNOA;GAGNOA LONACI
DELBO;;;;;;;GAGNOA;GAGNOA LONACI
DELBO BARRAGE;;;;;;;GAGNOA;GAGNOA LONACI
DELBO RESIDENTIEL;;;;;;;GAGNOA;GAGNOA LONACI
DIABOUO DJOGRO;;;;;;;GAGNOA;GAGNOA LONACI
DIKOUEHIPALEGNOA;;;;;;;GAGNOA;GAGNOA LONACI
DODJAGNOA;;;;;;;GAGNOA;GAGNOA LONACI
DOUGROU KOUAMEKRO;;;;;;;GAGNOA;GAGNOA LONACI
DOUGROUPALEGNOA;;;;;;;GAGNOA;GAGNOA LONACI
EXCELLENCE NAIRAYVILLE;;;;;;;GAGNOA;GAGNOA LONACI
GARAHIO 2;;;;;;;GAGNOA;GAGNOA LONACI
GNALEGRIBOUO;;;;;;;GAGNOA;GAGNOA LONACI
GODIABRE;;;;;;;GAGNOA;GAGNOA LONACI
GUEGUEO GBADJET ;;;;;;;GAGNOA;GAGNOA LONACI
HOUPHOUET BOIGNY;;;;;;;GAGNOA;GAGNOA LONACI
KABIA;;;;;;;GAGNOA;GAGNOA LONACI
KOBOUO 4;;;;;;;GAGNOA;GAGNOA LONACI
KOBOUO KOFFIKRO;;;;;;;GAGNOA;GAGNOA LONACI
LELEBREKOUA;;;;;;;GAGNOA;GAGNOA LONACI
LELEBREKOUA YAOKOFFIKRO;;;;;;;GAGNOA;GAGNOA LONACI
LOGOBIA;;;;;;;GAGNOA;GAGNOA LONACI
LOGOBIA BRUNOKRO;;;;;;;GAGNOA;GAGNOA LONACI
LONACI;;;;;;;GAGNOA;GAGNOA LONACI
MABOUO;;;;;;;GAGNOA;GAGNOA LONACI
MABOUO 2 ZABEZAKO;;;;;;;GAGNOA;GAGNOA LONACI
MAHIBOUO;;;;;;;GAGNOA;GAGNOA LONACI
MAHINADOPA;;;;;;;GAGNOA;GAGNOA LONACI
MAHINADOPA TCHEGBEKRO;;;;;;;GAGNOA;GAGNOA LONACI
NIAHIRIO;;;;;;;GAGNOA;GAGNOA LONACI
OBODROUPA;;;;;;;GAGNOA;GAGNOA LONACI
PACCOLO 1;;;;;;;GAGNOA;GAGNOA LONACI
PAYOPA;;;;;;;GAGNOA;GAGNOA LONACI
RESIDENTIEL 1;;;;;;;GAGNOA;GAGNOA LONACI
RESIDENTIEL 2;;;;;;;GAGNOA;GAGNOA LONACI
SAKUA;;;;;;;GAGNOA;GAGNOA LONACI
SOKOURADJAN;;;;;;;GAGNOA;GAGNOA LONACI
SOKOURADJAN5 6;;;;;;;GAGNOA;GAGNOA LONACI
SOLEIL;;;;;;;GAGNOA;GAGNOA LONACI
SOLEIL 2;;;;;;;GAGNOA;GAGNOA LONACI
TIPADIPA;;;;;;;GAGNOA;GAGNOA LONACI
ZIGOPA;;;;;;;GAGNOA;GAGNOA LONACI
ZIGOPA 2;;;;;;;GAGNOA;GAGNOA LONACI
BASSEHOA KOUADIOKRO;;;;;;;GAGNOA;GALEBRE
BOGNAN KOFFIKRO;;;;;;;GAGNOA;GALEBRE
DAGOYO VILLAGE;;;;;;;GAGNOA;GALEBRE
DIDI AKRE EMMANUEL;;;;;;;GAGNOA;GALEBRE
DIGBEU GUEHI ALBERT;;;;;;;GAGNOA;GALEBRE
DJEDJE BAGNON JOACHIM;;;;;;;GAGNOA;GALEBRE
GALEBRE CHANTIER;;;;;;;GAGNOA;GALEBRE
GALEBRE KROTTA KOUASSIKRO;;;;;;;GAGNOA;GALEBRE
GBATA GNAPO DENIS;;;;;;;GAGNOA;GALEBRE
GBOGOUAHIO PETIT BOUAKE;;;;;;;GAGNOA;GALEBRE
GNIGBAWA;;;;;;;GAGNOA;GALEBRE
GNIGBAWA PAULKRO;;;;;;;GAGNOA;GALEBRE
ONAHIO;;;;;;;GAGNOA;GALEBRE
ONAHIO BAKARIBOUGOU;;;;;;;GAGNOA;GALEBRE
ONAHIO KAKAHAKRO;;;;;;;GAGNOA;GALEBRE
ONAHIO POKOU KOUAMEKRO;;;;;;;GAGNOA;GALEBRE
ONAHIO SOLIKRO;;;;;;;GAGNOA;GALEBRE
VRIHI DOGO JEAN;;;;;;;GAGNOA;GALEBRE
ABOHIO;;;;;;;GAGNOA;GNAGBODOUGNOA
ATTIENKRO;;;;;;;GAGNOA;GNAGBODOUGNOA
BAMO 1;;;;;;;GAGNOA;GNAGBODOUGNOA
BAMO 1 YAOKRO;;;;;;;GAGNOA;GNAGBODOUGNOA
BODOGNOA;;;;;;;GAGNOA;GNAGBODOUGNOA
BOUSSOUPALEGNOA;;;;;;;GAGNOA;GNAGBODOUGNOA
DAGOBERTKRO;;;;;;;GAGNOA;GNAGBODOUGNOA
DALIGUEPALEGNOA;;;;;;;GAGNOA;GNAGBODOUGNOA
DALILIE;;;;;;;GAGNOA;GNAGBODOUGNOA
DJEREGOUE;;;;;;;GAGNOA;GNAGBODOUGNOA
DODOUGNOA;;;;;;;GAGNOA;GNAGBODOUGNOA
DONHIO MALEHIO;;;;;;;GAGNOA;GNAGBODOUGNOA
DOUKOUYO;;;;;;;GAGNOA;GNAGBODOUGNOA
GNAGBODOUGNOA;;;;;;;GAGNOA;GNAGBODOUGNOA
GNAMAGNOA;;;;;;;GAGNOA;GNAGBODOUGNOA
GODELILIE;;;;;;;GAGNOA;GNAGBODOUGNOA
GUIGUIA;;;;;;;GAGNOA;GNAGBODOUGNOA
KOUAMEKRO;;;;;;;GAGNOA;GNAGBODOUGNOA
KRAGBALILIE;;;;;;;GAGNOA;GNAGBODOUGNOA
OLIBRIBOUO;;;;;;;GAGNOA;GNAGBODOUGNOA
SORO K. GUILLAUME;;;;;;;GAGNOA;GNAGBODOUGNOA
AHOUGNANOU DE DIBIKRO;;;;;;;GAGNOA;GUEPAHOUO
AVIEKRO;;;;;;;GAGNOA;GUEPAHOUO
BODIBA;;;;;;;GAGNOA;GUEPAHOUO
COMMUNAUTAIRE GUEPAHOUO;;;;;;;GAGNOA;GUEPAHOUO
DIGBOHOUO;;;;;;;GAGNOA;GUEPAHOUO
DONSOHOUO   1;;;;;;;GAGNOA;GUEPAHOUO
DONSOHOUO  2;;;;;;;GAGNOA;GUEPAHOUO
DOUAGBO;;;;;;;GAGNOA;GUEPAHOUO
GUEPAHOUO 1 3;;;;;;;GAGNOA;GUEPAHOUO
GUEPAHOUO 2 4;;;;;;;GAGNOA;GUEPAHOUO
GUEPAHOUO 5;;;;;;;GAGNOA;GUEPAHOUO
GUEPAHOUO 6;;;;;;;GAGNOA;GUEPAHOUO
KANGAKRO;;;;;;;GAGNOA;GUEPAHOUO
MESSOUKRO;;;;;;;GAGNOA;GUEPAHOUO
N DAKRO 1;;;;;;;GAGNOA;GUEPAHOUO
N DAKRO 12;;;;;;;GAGNOA;GUEPAHOUO
N GORANKOFFIKRO LA;;;;;;;GAGNOA;GUEPAHOUO
SAKAHOUO 1 3;;;;;;;GAGNOA;GUEPAHOUO
SAKAHOUO 2;;;;;;;GAGNOA;GUEPAHOUO
SOKOBAKRO;;;;;;;GAGNOA;GUEPAHOUO
BASSEHOA;;;;;;;GAGNOA;GUIBEROUA
BASSI;;;;;;;GAGNOA;GUIBEROUA
BELAM;;;;;;;GAGNOA;GUIBEROUA
BELIEHOA 1 ET 2;;;;;;;GAGNOA;GUIBEROUA
BILAHIO 1 ET 2;;;;;;;GAGNOA;GUIBEROUA
BILAHIO ALLAKONANKRO;;;;;;;GAGNOA;GUIBEROUA
BILAHIO MALIKOUAKOUKRO;;;;;;;GAGNOA;GUIBEROUA
BRIEHOA;;;;;;;GAGNOA;GUIBEROUA
BRIEHOA CARREFOUR;;;;;;;GAGNOA;GUIBEROUA
DIDIER DROGBA ET TEBILY YAO BAYARD;;;;;;;GAGNOA;GUIBEROUA
DJETEHOA;;;;;;;GAGNOA;GUIBEROUA
DOUZO YADA KOUAKOU GRANGBE JEAN 1 ET 2  MATERNELLE;;;;;;;GAGNOA;GUIBEROUA
GRAND ZIA;;;;;;;GAGNOA;GUIBEROUA
GUEZEM 1 ET 2;;;;;;;GAGNOA;GUIBEROUA
KABEHOA;;;;;;;GAGNOA;GUIBEROUA
KABEHOA YOBOUET NGUESSANKRO;;;;;;;GAGNOA;GUIBEROUA
KONAHIO;;;;;;;GAGNOA;GUIBEROUA
KONAHIO BAPTISKRO;;;;;;;GAGNOA;GUIBEROUA
KPOGROBOUO 1 ET 2;;;;;;;GAGNOA;GUIBEROUA
KPOGROBOUO KOUADIOKRO;;;;;;;GAGNOA;GUIBEROUA
KRISSERAHIO;;;;;;;GAGNOA;GUIBEROUA
LEBAM;;;;;;;GAGNOA;GUIBEROUA
MAURICE KAKOU GUIKAHUE ZIALLO GNAHORE JUSTIN MATERNELLE;;;;;;;GAGNOA;GUIBEROUA
ONDJAHIO;;;;;;;GAGNOA;GUIBEROUA
ONDJAHIO NGUESSANKRO;;;;;;;GAGNOA;GUIBEROUA
ONDJAHIO YAOKOUASSIKRO;;;;;;;GAGNOA;GUIBEROUA
SAPH DIGAHIO;;;;;;;GAGNOA;GUIBEROUA
TAKOA;;;;;;;GAGNOA;GUIBEROUA
TEBILY ZEZE FELIX ET ZADI KESSI MARCEL;;;;;;;GAGNOA;GUIBEROUA
ZADIAHIO;;;;;;;GAGNOA;GUIBEROUA
ZAKOA;;;;;;;GAGNOA;GUIBEROUA
ZIRIWA 1 ET 2;;;;;;;GAGNOA;GUIBEROUA
ZOHA SABOUGNOUMA;;;;;;;GAGNOA;GUIBEROUA
ZOHA SOUANGAKRO;;;;;;;GAGNOA;GUIBEROUA
ZOHOA 1 ET 2;;;;;;;GAGNOA;GUIBEROUA
ZOUKOUBRE;;;;;;;GAGNOA;GUIBEROUA
AKROUFLA 1;;;;;;;GAGNOA;OUME
AKROUFLA 2;;;;;;;GAGNOA;OUME
AKROUFLA UAU;;;;;;;GAGNOA;OUME
ASSOUAGAKRO;;;;;;;GAGNOA;OUME
BENKRO 1 2;;;;;;;GAGNOA;OUME
BLEDOUA;;;;;;;GAGNOA;OUME
BOHUE MARTIN;;;;;;;GAGNOA;OUME
BROZAN 1;;;;;;;GAGNOA;OUME
BROZAN 2;;;;;;;GAGNOA;OUME
BROZAN 3;;;;;;;GAGNOA;OUME
BROZAN PAULKRO;;;;;;;GAGNOA;OUME
CARRIERE;;;;;;;GAGNOA;OUME
DOKA 1;;;;;;;GAGNOA;OUME
DOKA 2;;;;;;;GAGNOA;OUME
DOUGBAFLA 1 ET MATERNELLE;;;;;;;GAGNOA;OUME
DOUGBAFLA 2;;;;;;;GAGNOA;OUME
DOUGBAFLA 3;;;;;;;GAGNOA;OUME
DOUKOUYA 1 3 ET MATERNELLE;;;;;;;GAGNOA;OUME
DOUKOUYA 2;;;;;;;GAGNOA;OUME
DOUKOUYA 4;;;;;;;GAGNOA;OUME
FAITEKRO 1 2;;;;;;;GAGNOA;OUME
GABIA 2;;;;;;;GAGNOA;OUME
GABIA 3;;;;;;;GAGNOA;OUME
GATAZRA;;;;;;;GAGNOA;OUME
GNANOUFLA;;;;;;;GAGNOA;OUME
GOTA KOMEKRO;;;;;;;GAGNOA;OUME
GOTABAOULE 12 ET MATERNELLE;;;;;;;GAGNOA;OUME
GOULIKAO 1 2;;;;;;;GAGNOA;OUME
GUEHIBLY CHANTIER;;;;;;;GAGNOA;OUME
KAPPA;;;;;;;GAGNOA;OUME
KEITANDRIKRO;;;;;;;GAGNOA;OUME
KOBIAKRO;;;;;;;GAGNOA;OUME
KOUADIOKRO 1 2;;;;;;;GAGNOA;OUME
KOUAMEFLA 1;;;;;;;GAGNOA;OUME
KOUAMEFLA 2;;;;;;;GAGNOA;OUME
KOUASSIZRA 1;;;;;;;GAGNOA;OUME
KOUASSIZRA 2;;;;;;;GAGNOA;OUME
LOUHA 1 2;;;;;;;GAGNOA;OUME
LOUHA BACOUMAN;;;;;;;GAGNOA;OUME
LOUKOUKRO;;;;;;;GAGNOA;OUME
MUNICIPALE  BEHIBRO 1 2;;;;;;;GAGNOA;OUME
OUME  KOKO 1 2 3;;;;;;;GAGNOA;OUME
OUME 1 ESTOUESTNORD ET MATERNELLE;;;;;;;GAGNOA;OUME
OUME 2 ESTOUESTNORDSUD ET MATERNELLE;;;;;;;GAGNOA;OUME
POKOUKRO;;;;;;;GAGNOA;OUME
SAINT EXUPERY 1 2;;;;;;;GAGNOA;OUME
SEBRETA;;;;;;;GAGNOA;OUME
SIE KOFFIKRO DE GABIA;;;;;;;GAGNOA;OUME
TIAMA OUME;;;;;;;GAGNOA;OUME
YAO KOKO;;;;;;;GAGNOA;OUME
YAOFLA 1 2;;;;;;;GAGNOA;OUME
YOHOUDA 1;;;;;;;GAGNOA;OUME
YOHOUDA 2;;;;;;;GAGNOA;OUME
ZANGUE 1 3;;;;;;;GAGNOA;OUME
ZANGUE 2 4;;;;;;;GAGNOA;OUME
ZANGUE –AGBA KOFFIKRO;;;;;;;GAGNOA;OUME
ZANGUE FROITIEKRO;;;;;;;GAGNOA;OUME
ZANGUE YAOKRO;;;;;;;GAGNOA;OUME
BADIEPA;;;;;;;GAGNOA;OURAGAHIO
BAYEKOU BASSI;;;;;;;GAGNOA;OURAGAHIO
BIAKOU 2;;;;;;;GAGNOA;OURAGAHIO
BODOCIPA  MATERNELLE;;;;;;;GAGNOA;OURAGAHIO
BROUDOUME;;;;;;;GAGNOA;OURAGAHIO
DAHIEPA1 2   MATERNELLE;;;;;;;GAGNOA;OURAGAHIO
DJAHAKOUAKOUKRO;;;;;;;GAGNOA;OURAGAHIO
DRAYO DAGNOA;;;;;;;GAGNOA;OURAGAHIO
GADO MARGUERITE;;;;;;;GAGNOA;OURAGAHIO
GNALIEPA;;;;;;;GAGNOA;OURAGAHIO
IRIBOUOBIAKOU 3   MATERNELLE;;;;;;;GAGNOA;OURAGAHIO
IZAMBRE;;;;;;;GAGNOA;OURAGAHIO
IZAMBRE DENISKRO;;;;;;;GAGNOA;OURAGAHIO
KEHI GBAHI 1;;;;;;;GAGNOA;OURAGAHIO
KEHI GBAHI 2;;;;;;;GAGNOA;OURAGAHIO
KOFFIKRO;;;;;;;GAGNOA;OURAGAHIO
KOUSSEKOU;;;;;;;GAGNOA;OURAGAHIO
KPAPEKOU KOKOUEZO 1 2;;;;;;;GAGNOA;OURAGAHIO
KPAPEKOU KOKOUEZO 3;;;;;;;GAGNOA;OURAGAHIO
KROGBOPA;;;;;;;GAGNOA;OURAGAHIO
MAGBEHI NANAFOUE;;;;;;;GAGNOA;OURAGAHIO
MAGBEHI TOUMODI;;;;;;;GAGNOA;OURAGAHIO
MAGBEHIGOUEPA 1 2;;;;;;;GAGNOA;OURAGAHIO
MAGIC SYSTEM;;;;;;;GAGNOA;OURAGAHIO
MAMA 1;;;;;;;GAGNOA;OURAGAHIO
MAMA 2;;;;;;;GAGNOA;OURAGAHIO
MAMA KOFFIKRO;;;;;;;GAGNOA;OURAGAHIO
MAMA NOUVEAU QUARTIER;;;;;;;GAGNOA;OURAGAHIO
MATERNELLE MUNICIPALE;;;;;;;GAGNOA;OURAGAHIO
MONSEIGNEUR ROBERT ATEA;;;;;;;GAGNOA;OURAGAHIO
MUNICIPALITE;;;;;;;GAGNOA;OURAGAHIO
NAZIA;;;;;;;GAGNOA;OURAGAHIO
OUNDJIBIPA;;;;;;;GAGNOA;OURAGAHIO
OUNDJIBIPA NGORANKRO;;;;;;;GAGNOA;OURAGAHIO
OURAGAHIO 1  4   5;;;;;;;GAGNOA;OURAGAHIO
OURAGAHIO 2;;;;;;;GAGNOA;OURAGAHIO
OURAGAHIO 3;;;;;;;GAGNOA;OURAGAHIO
PISSEKOU 1 2;;;;;;;GAGNOA;OURAGAHIO
PISSEKOU ATTOUNGBRE KOUAKOUKRO;;;;;;;GAGNOA;OURAGAHIO
QUEISHA KAWAS;;;;;;;GAGNOA;OURAGAHIO
SENINKRO;;;;;;;GAGNOA;OURAGAHIO
SIEGOUEKOU;;;;;;;GAGNOA;OURAGAHIO
TIEPA;;;;;;;GAGNOA;OURAGAHIO
ZAHUI DEPROU 1 2;;;;;;;GAGNOA;OURAGAHIO
ZEBIZEKOU 1;;;;;;;GAGNOA;OURAGAHIO
ZEBIZEKOU 2  MATERNELLE;;;;;;;GAGNOA;OURAGAHIO
ZEGREPA 1 2;;;;;;;GAGNOA;OURAGAHIO
ZEPE KOUDOU GBAGBO;;;;;;;GAGNOA;OURAGAHIO
AMANIKRO;;;;;;;GAGNOA;SERIHIO
BEHIBROKRO;;;;;;;GAGNOA;SERIHIO
BIENTOKRO;;;;;;;GAGNOA;SERIHIO
BONIKRO;;;;;;;GAGNOA;SERIHIO
BROKOHIO;;;;;;;GAGNOA;SERIHIO
BROU YAOKRO;;;;;;;GAGNOA;SERIHIO
BROUKRO;;;;;;;GAGNOA;SERIHIO
CISSE MBRAKRO;;;;;;;GAGNOA;SERIHIO
DIGBAHIO;;;;;;;GAGNOA;SERIHIO
GNATROA BELLEVILLE;;;;;;;GAGNOA;SERIHIO
GNATROA KORHOGO CARREFOUR;;;;;;;GAGNOA;SERIHIO
GNATROA SALIFOUDOUGOU;;;;;;;GAGNOA;SERIHIO
GNATROA ZOKOUHIO;;;;;;;GAGNOA;SERIHIO
